순취득",수출,최종수요계,총수요계,총산출,수입,생산물세(수입),수입계,도소매마진,화물운임,총공급계,,
180,합성수지 및 합성고무,"-2,212 ","-4,654 ","-1,929 ","-1,804 ",-897 ,"-1,179 ",0 ,0 ,-7 ,0 ,-4 ,0 ,"-2,860 ",45 ,"-4,849 ",-402 ,636 ,662 ,"-1,755 ","-2,701 ","-2,443 ",404 ,-282 ,"8,966 ","28,448 ","3,137 ","2,291,162 ","2,306 ","155,626 ","203,761 ","22,107 ","-3,913 ","48,105 ","67,020 ","29,034 ",0 ,"3,939 ","33,655 ","58,689 ",-175 ,"516,417 ","41,395 ","48,439 ",797 ,"491,665 ","16,359 ","650,502 ","4,496,869 ","12,314,966 ","495,777 ","747,147 ","35,542 ","9,672 ","36,175 ","8,344 ","107,060 ","-1,911 ",449 ,-176 ,"-1,195 ","-3,153 ","9,460 ","3,105 ","63,609 ","27,298 ","43,246 ","137,103 ","676,100 ","125,048 ","513,567 ","86,748 ","9,007 ","26,783 ","8,881 ","35,726 ","17,681 ","37,016 ","361,746 ","222,820 ","252,185 ","95,768 ","502,282 ","1,326 ","1,512 ","3,462 ",41 ,"30,732 ",556 ,"-1,054 ","-2,229 ","-2,359 ","8,026 ","8,052 ","115,640 ","17,491 ","226,712 ",529 ,184 ,343 ,"10,189 ","85,927 ","360,711 ","72,223 ","-1,211 ",0 ,-60 ,-3 ,"-29,112 ","-1,441 ","-10,902 ","3,279 ","33,993 ",507 ,378 ,"-43,782 ","1,252 ","1,039 ","-79,815 ",0 ,"-4,630 ",-24 ,-31 ,"-2,733 ",0 ,"-4,710 ","-16,133 ",0 ,"-8,044 ","-1,697 ","-2,969 ",-125 ,-13 ,0 ,-93 ,"-3,033 ",0 ,"-13,961 ","14,462 ",-34 ,0 ,0 ,-529 ,"-2,714 ","-5,616 ",-838 ,"35,076 ",0 ,-434 ,"-3,585 ",-702 ,"-1,066 ","-12,219 ","-3,258 ",-906 ,"-23,787 ",11 ,"-3,156 ","5,604 ",-8 ,28 ,"-1,799 ",-48 ,-676 ,-409 ,74 ,"26,939,366 ","-587,473 ",0 ,0 ,0 ,"-155,242 ",0 ,"23,000,583 ","22,257,868 ","49,197,234 ","43,214,024 ","5,911,924 ","71,286 ","5,983,210 ",0 ,0 ," 49,197,234 ",,
190,화학섬유,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"347,115 ","734,481 ",0 ,"523,276 ","84,512 ","12,010 ",0 ,0 ,0 ,"8,259 ","46,742 ",0 ,0 ,0 ,0 ,512 ,0 ,0 ,"51,512 ",0 ,0 ,"12,961 ","1,393 ",116 ,"100,647 ","150,346 ",0 ,"6,324 ",0 ,0 ,0 ,0 ,"3,908 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,927 ",0 ,"2,602 ","2,612 ","3,633 ",0 ,"2,194 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,402 ",0 ,0 ,0 ,765 ,"1,473 ","109,662 ","23,585 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"12,126 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,538 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,249,633 ",0 ,0 ,0 ,0 ,"-13,257 ",0 ,"1,293,162 ","1,279,905 ","3,529,538 ","3,291,939 ","235,270 ","2,329 ","237,599 ",0 ,0 ," 3,529,538 ",,
200,의약품,0 ,0 ,67 ,"49,296 ","39,284 ",141 ,"19,390 ","13,534 ",96 ,0 ,3 ,431 ,"17,945 ","3,360 ",0 ,"1,891 ",566 ,747 ,"6,168 ","42,976 ",364 ,"4,524 ",626 ,51 ,169 ,41 ,45 ,51 ,51 ,"1,880 ",358 ,0 ,"3,177 ","1,431 ",387 ,"1,052 ","10,808 ",306 ,883 ,811 ,"1,220 ",100 ,"2,213,294 ","17,472 ",516 ,"5,038 ",148 ,653 ,"2,660 ",10 ,258 ,168 ,34 ,3 ,262 ,960 ,13 ,"1,539 ",292 ,59 ,"1,138 ",223 ,388 ,"1,371 ",997 ,"1,798 ","2,441 ","1,093 ",31 ,28 ,90 ,230 ,200 ,336 ,"1,155 ",10 ,189 ,458 ,48 ,220 ,103 ,499 ,21 ,471 ,20 ,526 ,269 ,75 ,66 ,21 ,144 ,127 ,100 ,271 ,24 ,918 ,44 ,10 ,14 ,57 ,856 ,538 ,"18,624 ","1,148 ",10 ,"2,389 ",536 ,"19,059 ","70,857 ",544 ,81 ,127 ,417 ,339 ,631 ,429 ,89 ,"94,197 ",3 ,421 ,476 ,"1,351 ","6,971 ","1,004 ",24 ,715 ,176 ,"2,169 ","16,914 ","3,857 ",433 ,491 ,52 ,268 ,859 ,756 ,26 ,"1,205 ",723 ,992 ,781 ,"1,125 ",0 ,"1,010 ","20,697 ","89,647 ","687,496 ","2,090 ",907 ,"314,369 ","3,379 ","2,184 ","6,133 ","13,762 ","745,417 ","12,398 ","243,639 ","22,058,562 ","83,846 ","6,191 ","10,388 ","51,577 ",568 ,"15,667 ","8,656 ","27,115,079 ","5,379,362 ",0 ,0 ,0 ,"845,784 ",0 ,"10,028,280 ","16,253,426 ","43,368,505 ","32,329,231 ","10,048,012 ","991,262 ","11,039,274 ",0 ,0 ," 43,368,505 ",,
210,비료 및 농약,"1,130,000 ","2,031,309 ","214,968 ","3,755 ","72,642 ","148,052 ",223 ,"68,864 ",7 ,0 ,0 ,36 ,87 ,45 ,0 ,9 ,85 ,78 ,158 ,"19,959 ",69 ,94 ,0 ,0 ,27 ,182 ,25 ,138 ,"1,361 ",817 ,10 ,0 ,288 ,41 ,59 ,0 ,523 ,23 ,"76,696 ","148,475 ","67,494 ",318 ,"20,111 ","906,265 ","3,404 ","1,303 ","129,602 ",752 ,"1,347 ",130 ,139 ,"4,317 ",0 ,0 ,139 ,65 ,1 ,490 ,269 ,0 ,159 ,0 ,44 ,113 ,49 ,"3,782 ",171 ,"25,535 ","4,731 ",178 ,996 ,5 ,60 ,72 ,297 ,5 ,132 ,370 ,846 ,75 ,143 ,947 ,0 ,95 ,0 ,61 ,186 ,83 ,82 ,0 ,194 ,155 ,154 ,4 ,0 ,"1,953 ",491 ,0 ,136 ,11 ,57 ,183 ,"14,109 ","1,808 ",0 ,115 ,158 ,"24,261 ","53,666 ",134 ,"13,954 ","14,238 ",58 ,355 ,62 ,80 ,37 ,"5,989 ",0 ,"1,102 ",332 ,753 ,72 ,91 ,0 ,63 ,57 ,249 ,"8,340 ","8,849 ",546 ,72 ,249 ,248 ,"1,677 ",86 ,82 ,250 ,741 ,103 ,295 ,55 ,0 ,"3,645 ",896 ,"106,724 ",565 ,0 ,278 ,329 ,439 ,"34,760 ",14 ,122 ,"161,878 ",35 ,"18,145 ","252,832 ","18,180 ","6,418 ","182,124 ",48 ,205 ,185 ,"1,276 ","6,040,240 ","95,315 ",0 ,0 ,0 ,"86,661 ",0 ,"1,054,302 ","1,236,278 ","7,276,518 ","5,828,484 ","1,401,893 ","46,141 ","1,448,034 ",0 ,0 ," 7,276,518 ",,
221,도료 및 잉크,1 ,2 ,19 ,208 ,188 ,59 ,"2,591 ",192 ,1 ,0 ,0 ,70 ,122 ,53 ,0 ,4 ,14 ,66 ,149 ,42 ,17 ,23 ,451 ,315 ,"2,041 ","5,821 ",735 ,"1,013 ",988 ,"9,541 ","26,958 ",5 ,"8,731 ","40,916 ","351,448 ",24 ,"2,381 ",653 ,"1,832 ","1,344 ","3,351 ","1,698 ",257 ,25 ,"378,959 ","1,293 ","71,183 ","12,685 ","69,163 ",5 ,248 ,"95,168 ","165,183 ",56 ,"1,042 ","2,697 ",8 ,"2,368 ",106 ,"305,721 ",120 ,"6,185 ",429 ,"130,539 ","18,611 ","209,710 ","45,302 ","349,008 ","155,898 ","61,539 ","39,484 ","9,398 ","21,513 ","8,851 ","3,379 ",356 ,"72,740 ","5,595 ",996 ,"4,858 ","13,977 ","4,698 ",278 ,"2,751 ",88 ,"25,503 ","43,538 ","19,395 ","22,528 ","18,765 ","32,721 ","59,813 ","30,550 ","234,393 ","3,451 ","320,640 ","547,023 ","1,205 ","13,028 ",506 ,"148,775 ","76,007 ","20,793 ","12,732 ","1,516 ",66 ,22 ,507 ,315 ,650 ,"486,583 ","541,115 ","222,638 ","217,235 ","26,214 ","36,975 ","22,573 ","35,443 ",1 ,704 ,"3,568 ","5,710 ","7,878 ","1,277 ","7,875 ","1,063 ",101 ,"1,124 ","6,258 ",389 ,271 ,181 ,135 ,833 ,"1,000 ","5,543 ","95,862 ","1,806 ",200 ,645 ,706 ,569 ,0 ,833 ,"31,655 ","13,228 ","32,998 ",306 ,"2,251 ","25,281 ",963 ,"32,566 ","1,265 ","3,184 ","13,566 ","2,002 ","32,857 ","4,623 ","15,907 ","15,759 ","6,521 ","7,259 ","15,490 ",208 ,"1,583 ","6,363,759 ","32,430 ",0 ,0 ,0 ,"66,839 ",0 ,"1,313,329 ","1,412,598 ","7,776,357 ","6,496,506 ","1,246,395 ","33,456 ","1,279,851 ",0 ,0 ," 7,776,357 ",,
222,비누 및 화장품,"16,303 ","11,623 ","4,682 ","5,282 ","11,299 ","1,538 ","7,417 ","4,765 ",103 ,25 ,20 ,"4,594 ","3,932 ","1,212 ","1,364 ","1,246 ","1,866 ","1,648 ","3,875 ","1,216 ","5,307 ","1,299 ","2,021 ",781 ,"7,446 ","25,819 ","3,106 ","4,350 ","1,568 ","5,362 ","1,494 ","1,512 ","4,595 ","9,122 ","11,186 ","1,449 ","30,245 ","4,773 ","21,366 ","33,251 ","49,550 ","10,891 ","27,153 ","7,647 ","13,523 ","695,739 ","43,691 ","9,771 ","54,828 ",318 ,"6,201 ","4,538 ","1,255 ",938 ,"3,751 ","4,826 ","1,862 ","8,257 ",615 ,"3,577 ","4,530 ","5,151 ","1,197 ","8,076 ","5,209 ","14,400 ","39,598 ","17,232 ","13,407 ",314 ,"3,186 ",521 ,906 ,556 ,"2,817 ","2,159 ","1,460 ","5,125 ",207 ,"1,564 ","2,316 ","4,165 ",773 ,"1,467 ","2,452 ","1,976 ","3,422 ","1,385 ","1,450 ","1,803 ","3,431 ","7,988 ","4,551 ","1,733 ",156 ,"3,104 ",151 ,134 ,223 ,109 ,"3,754 ","9,535 ","45,252 ","8,943 ","12,310 ","22,077 ","4,978 ","58,670 ","81,412 ","1,162 ","2,666 ","3,444 ","2,872 ","2,829 ","3,332 ","2,111 ","1,546 ","917,577 ",129 ,"2,894 ","2,363 ","2,334 ","18,448 ","12,562 ","2,324 ","5,342 ",601 ,"1,925 ","254,865 ","301,660 ","10,541 ","15,876 ","10,734 ","3,706 ","50,122 ","11,710 ","1,618 ","118,829 ","19,858 ","22,288 ","9,524 ","5,761 ",0 ,"58,622 ","37,943 ","109,340 ","240,919 ","6,047 ","7,072 ","43,597 ","17,378 ","956,293 ","24,543 ","53,741 ","159,292 ","4,430 ","112,819 ","175,375 ","189,704 ","41,240 ","135,848 ","220,713 ","8,264 ","1,694,685 ","2,080 ","7,749,826 ","7,779,752 ",0 ,0 ,0 ,"42,559 ",0 ,"9,557,996 ","17,380,307 ","25,130,133 ","18,611,050 ","6,298,471 ","220,612 ","6,519,083 ",0 ,0 ," 25,130,133 ",,
229,기타 화학제품,38 ,86 ,373 ,619 ,"2,844 ",344 ,"6,038 ","1,019 ","3,103 ",6 ,"2,272 ","104,014 ","42,003 ","57,182 ",0 ,"4,972 ","43,257 ","55,660 ","151,856 ","17,481 ","14,890 ","15,797 ","107,621 ","2,779 ","38,985 ","56,354 ","54,928 ","20,634 ","77,685 ","182,573 ","90,109 ","14,212 ","251,222 ","295,195 ","312,136 ","7,939 ","473,414 ","141,451 ","143,356 ","167,704 ","745,128 ","36,795 ","141,794 ","59,426 ","248,066 ","858,647 ","770,633 ","261,912 ","779,970 ","60,035 ","72,131 ","71,710 ","38,915 ","9,756 ","309,721 ","96,813 ","40,214 ","96,577 ","11,375 ","120,202 ","722,318 ","46,333 ","33,464 ","59,624 ","74,773 ","1,045,984 ","204,251 ","3,235,612 ","1,094,485 ","311,372 ","262,900 ","107,410 ","73,376 ","19,468 ","17,282 ","39,756 ","33,310 ","81,790 ","1,015,679 ","46,455 ","25,643 ","74,168 ","3,116 ","7,780 ","13,069 ","9,427 ","44,754 ","7,359 ","5,035 ","8,457 ","33,769 ","33,262 ","211,775 ","1,099,166 ","48,100 ","94,899 ","28,639 ","2,051 ","1,663 ","9,031 ","52,217 ","51,935 ","117,154 ","142,942 ","7,249 ","62,474 ","206,881 ","89,319 ","102,487 ","5,114 ","23,495 ","20,702 ","18,666 ","19,241 ","38,503 ","6,281 ","1,867 ","149,769 ",44 ,"56,065 ","34,757 ","1,109 ","41,366 ","7,049 ","27,824 ","18,322 ",813 ,"7,874 ","169,574 ","22,036 ","2,895 ","1,445 ","3,021 ","11,045 ","10,952 ","41,223 ","25,606 ","73,049 ","1,874 ","7,778 ","6,195 ","4,990 ",-197 ,"13,255 ","63,117 ","995,435 ","207,428 ","35,860 ","21,185 ","371,127 ","21,862 ","398,915 ","21,019 ","395,142 ","128,786 ","5,198 ","153,451 ","192,150 ","66,767 ","46,823 ","16,192 ","53,371 ","345,176 ","64,044 ","3,672 ","23,391,756 ","123,817 ",0 ,0 ,0 ,"235,426 ",0 ,"4,710,338 ","5,069,581 ","28,461,337 ","20,341,644 ","8,006,073 ","113,620 ","8,119,693 ",0 ,0 ," 28,461,337 ",,
231,플라스틱 1차제품,"68,584 ","76,093 ","15,790 ","39,947 ","4,461 ","5,243 ","14,172 ",29 ,549 ,0 ,130 ,"1,072 ","34,329 ","37,514 ",0 ,"1,416 ","19,251 ","7,182 ","34,679 ","2,757 ",914 ,"7,553 ","23,180 ","1,621 ","5,684 ",69 ,"35,012 ","41,857 ","48,794 ","54,805 ","1,588 ",0 ,"15,309 ","72,289 ","66,197 ",30 ,"5,971 ","21,430 ","15,573 ","18,343 ","348,423 ","4,560 ","15,036 ",592 ,"10,041 ","98,931 ","208,185 ","518,322 ","5,506,695 ","114,048 ","16,266 ","39,896 ","1,690 ",189 ,"1,611 ","13,232 ",83 ,"6,959 ",481 ,"11,635 ",287 ,"22,921 ",396 ,"11,274 ","28,901 ","53,369 ","44,004 ","1,113,538 ","1,225,388 ","384,576 ","334,175 ","13,230 ","118,401 ","15,280 ","58,569 ","17,963 ","34,450 ","44,687 ","105,670 ","19,399 ","38,916 ","57,626 ",916 ,"3,694 ","8,427 ","2,870 ","11,545 ","1,622 ","1,547 ",955 ,"2,554 ","29,408 ","3,281 ","8,129 ",94 ,"208,274 ","8,937 ",821 ,"1,115 ",872 ,"56,623 ","182,343 ","186,121 ","17,051 ",0 ,0 ,"1,154 ","12,235 ",92 ,0 ,"460,039 ","410,642 ","157,345 ","49,196 ","41,912 ","21,703 ","30,853 ","154,188 ",55 ,61 ,"1,423 ",533 ,"3,557 ","4,254 ","14,132 ","8,091 ",0 ,344 ,"8,180 ","1,625 ",0 ,"2,073 ",0 ,0 ,12 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"4,934 ",0 ,0 ,0 ,626 ,0 ,"3,445 ",101 ,"10,414 ","6,438 ",577 ,"10,447 ","2,815 ","2,225 ",70 ,1 ,0 ,79 ,375 ,89 ,"13,622,846 ","40,538 ",0 ,0 ,0 ,"-40,807 ",0 ,"8,667,167 ","8,666,898 ","22,289,744 ","16,925,258 ","5,262,476 ","102,010 ","5,364,486 ",0 ,0 ," 22,289,744 ",,
239,기타 플라스틱제품,"106,895 ","130,167 ","44,893 ","1,455 ","10,210 ","8,135 ","136,732 ",40 ,542 ,0 ,0 ,"9,141 ","494,667 ","148,300 ","27,422 ","66,640 ","385,480 ","229,478 ","586,486 ","37,332 ","159,454 ","556,415 ",242 ,"1,216 ","10,765 ","5,164 ","34,075 ","337,486 ","101,575 ","5,433 ","26,698 ",0 ,"20,100 ","91,865 ","149,238 ",585 ,"24,842 ","31,065 ","28,199 ","30,060 ","46,842 ","2,016 ","414,929 ","71,990 ","6,911 ","977,444 ","138,439 ","100,343 ","1,794,654 ",626 ,"139,738 ","42,023 ","15,527 ",389 ,"8,599 ","124,920 ","1,919 ","30,780 ","3,824 ","25,596 ","17,142 ","34,562 ","3,966 ","346,218 ","213,989 ","192,208 ","431,021 ","767,965 ","833,411 ","47,213 ","356,100 ","170,158 ","1,457,899 ","126,486 ","816,001 ","82,161 ","131,732 ","1,296,551 ","68,543 ","119,417 ","786,870 ","682,076 ","9,674 ","99,075 ","102,500 ","101,188 ","898,400 ","104,042 ","96,977 ","69,625 ","67,787 ","268,004 ","107,570 ","1,812,505 ","83,224 ","7,889,301 ","96,010 ","48,710 ","56,092 ","42,298 ","555,236 ","717,442 ","458,463 ","119,481 ","1,597 ","25,384 ","3,667 ","210,926 ","39,319 ","15,795 ","2,821,976 ","3,323,464 ","1,673,380 ","47,597 ","45,520 ","29,944 ","28,363 ","3,860,338 ",203 ,"30,689 ","4,174 ",377 ,"49,492 ","18,156 ","214,236 ","45,748 ",246 ,"109,600 ","2,837,723 ","149,378 ","1,207 ","9,111 ","6,013 ","3,955 ","49,813 ","10,233 ","2,427 ","75,254 ","4,458 ","15,298 ","9,173 ","6,619 ",0 ,"6,339 ","49,479 ","30,299 ","2,073,180 ","11,376 ","8,819 ","106,645 ","158,887 ","129,541 ","69,515 ","24,899 ","122,714 ","6,280 ","364,450 ","37,028 ","88,680 ","10,143 ","51,372 ","11,602 ","193,554 ","28,400 ","3,037 ","50,138,386 ","670,706 ",0 ,0 ,0 ,"143,358 ",0 ,"5,584,228 ","6,398,292 ","56,536,678 ","53,205,972 ","3,218,802 ","111,904 ","3,330,706 ",0 ,0 ," 56,536,678 ",,
241,타이어 및 튜브,"4,764 ","3,544 ",215 ,586 ,"3,187 ",12 ,"1,471 ",965 ,3 ,1 ,222 ,"11,762 ",144 ,221 ,0 ,0 ,29 ,93 ,97 ,9 ,8 ,29 ,0 ,22 ,187 ,35 ,64 ,26 ,33 ,850 ,144 ,11 ,299 ,821 ,838 ,394 ,"16,440 ",166 ,"1,710 ",400 ,"4,553 ",26 ,"1,022 ",56 ,122 ,460 ,95 ,874 ,"5,364 ","121,579 ","34,339 ",176 ,288 ,"4,590 ","11,888 ","10,097 ",113 ,"7,903 ",119 ,62 ,47 ,44 ,50 ,751 ,"5,626 ","2,676 ","8,207 ",129 ,76 ,60 ,261 ,10 ,26 ,35 ,438 ,17 ,20 ,254 ,68 ,402 ,173 ,410 ,30 ,681 ,54 ,"66,280 ",889 ,"1,064 ","100,113 ",155 ,131 ,479 ,"4,803 ","1,097,677 ","35,368 ","4,782 ",24 ,76 ,615 ,"33,196 ",273 ,698 ,"39,689 ",4 ,9 ,95 ,0 ,"37,339 ","39,108 ",604 ,414 ,580 ,709 ,682 ,"1,263 ",227 ,93 ,"293,075 ",1 ,"277,620 ","1,019 ","14,874 ","11,463 ","7,920 ","1,773 ","6,258 ",29 ,"182,875 ","6,405 ",456 ,168 ,379 ,24 ,14 ,361 ,94 ,7 ,"3,213 ",43 ,426 ,360 ,478 ,0 ,"1,569 ","30,106 ","2,871 ","257,957 ",89 ,"1,186 ","30,777 ","153,747 ","28,084 ","28,674 ","40,308 ","1,961 ",15 ,"5,922 ",515 ,664 ,"11,191 ","9,267 ","18,931 ","399,752 ",323 ,0 ,"3,574,756 ","22,327 ",0 ,0 ,0 ,"1,772 ",0 ,"3,444,263 ","3,468,362 ","7,043,118 ","5,890,015 ","1,140,804 ","12,299 ","1,153,103 ",0 ,0 ," 7,043,118 ",,
249,기타 고무제품,"11,611 ","8,994 ",80 ,"2,548 ","21,427 ",327 ,"8,676 ",546 ,"1,406 ",0 ,0 ,"12,945 ","11,461 ","6,474 ",7 ,257 ,"2,048 ","6,956 ","4,024 ","2,881 ","1,810 ","1,012 ","1,111 ",404 ,"9,524 ","19,256 ","15,894 ","34,490 ","97,148 ","11,959 ","7,455 ",231 ,"11,481 ","39,402 ","25,950 ","8,136 ","111,928 ","1,728 ","4,693 ","2,430 ","35,396 ",328 ,"28,188 ","3,189 ","1,217 ","33,079 ","6,064 ","15,099 ","201,367 ","42,551 ","427,177 ","54,321 ","5,705 ","7,739 ","31,602 ","39,971 ",351 ,"58,883 ","6,213 ","1,265 ","4,085 ","8,572 ","11,299 ","160,566 ","94,736 ","81,875 ","293,371 ","12,239 ","24,446 ","4,134 ","43,555 ","1,081 ","41,023 ","9,780 ","111,960 ","4,720 ","51,572 ","228,392 ","1,584 ","128,104 ","71,663 ","246,730 ","27,530 ","165,099 ","233,112 ","71,708 ","128,783 ","124,327 ","79,061 ","36,015 ","4,069 ","94,309 ","76,153 ","167,909 ","9,539 ","704,829 ","47,156 ","43,911 ","9,678 ","20,356 ","135,022 ","49,419 ","294,413 ","49,923 ","1,004 ",718 ,310 ,"14,579 ","25,203 ","2,534 ","11,515 ","15,986 ","4,469 ","9,763 ","26,334 ","20,057 ","3,798 ","49,602 ",18 ,"1,607 ","15,522 ","12,917 ","58,676 ","13,659 ","17,446 ","6,123 ",26 ,28 ,"193,331 ","6,103 ",25 ,33 ,38 ,11 ,974 ,"22,000 ",448 ,"8,962 ",366 ,"3,026 ","1,339 ","1,414 ",0 ,"2,111 ","5,523 ","27,998 ","3,370 ",207 ,212 ,"10,071 ","1,271 ","119,328 ","3,650 ","23,361 ","10,156 ",0 ,"18,689 ","265,409 ","11,680 ","3,795 ","7,487 ","1,142 ","75,290 ","10,516 ",529 ,"6,867,982 ","87,151 ",0 ,0 ,0 ,"38,858 ",0 ,"1,134,194 ","1,260,203 ","8,128,185 ","6,994,483 ","1,096,195 ","37,507 ","1,133,702 ",0 ,0 ," 8,128,185 ",,
250,유리 및 유리제품,0 ,0 ,0 ,0 ,183 ,2 ,4 ,"3,405 ",0 ,0 ,0 ,4 ,202 ,109 ,0 ,0 ,186 ,968 ,"12,349 ",7 ,"531,616 ","308,293 ",0 ,121 ,"20,035 ",288 ,"2,988 ","8,266 ",42 ,"1,202 ","26,109 ",0 ,267 ,17 ,"4,289 ",0 ,"8,255 ",41 ,672 ,27 ,"10,545 ",-97 ,"272,402 ","5,252 ","6,201 ","557,021 ","6,349 ","7,005 ","173,496 ",255 ,"7,620 ","1,413,350 ",868 ,1 ,820 ,"10,869 ",31 ,"3,240 ",129 ,432 ,30 ,"1,581 ","1,003 ","27,115 ","31,461 ","3,805 ","46,355 ","233,367 ","1,589,113 ","83,258 ","33,921 ","4,305 ","36,523 ","8,013 ","52,923 ","64,914 ","171,874 ","15,178 ","50,568 ","15,281 ","86,682 ","212,053 ","1,270 ","5,661 ","18,232 ","4,969 ","27,117 ","6,921 ","7,957 ",366 ,"1,187 ","103,601 ","9,332 ","972,031 ","9,158 ","136,032 ","15,903 ","15,604 ","18,090 ","30,979 ","108,203 ","91,968 ","108,516 ","1,922 ",0 ,0 ,42 ,"4,260 ",-925 ,"5,506 ","339,987 ","698,687 ","136,621 ","6,407 ","4,547 ","8,555 ","9,065 ","152,146 ",1 ,548 ,"1,264 ",143 ,"18,469 ","1,770 ","15,481 ","4,751 ",33 ,2 ,"21,198 ","2,197 ",77 ,19 ,34 ,1 ,225 ,"3,543 ",58 ,"1,379 ",504 ,"1,102 ",522 ,60 ,0 ,831 ,"19,799 ","28,581 ","2,257 ","4,236 ","3,570 ","13,304 ","4,167 ","2,304 ","3,768 ","6,433 ","32,724 ",596 ,"88,612 ","20,753 ","24,589 ","8,345 ",776 ,"3,247 ","51,995 ",373 ,250 ,"9,629,867 ","-310,989 ",0 ,0 ,0 ,"61,457 ",0 ,"3,132,959 ","2,883,427 ","12,513,294 ","9,887,042 ","2,569,564 ","56,688 ","2,626,252 ",0 ,0 ," 12,513,294 ",,
261,도자기 및 요업제품,160 ,109 ,36 ,83 ,115 ,21 ,145 ,587 ,3 ,1 ,2 ,141 ,77 ,129 ,31 ,51 ,44 ,30 ,"3,400 ",16 ,"1,184 ",66 ,26 ,254 ,47 ,27 ,84 ,76 ,36 ,85 ,511 ,372 ,"1,054 ",392 ,205 ,288 ,"52,132 ",15 ,"22,749 ","64,047 ","36,078 ","1,411 ","1,078 ",198 ,"3,719 ",175 ,"88,049 ","1,479 ","4,137 ",6 ,135 ,"76,337 ","69,356 ","6,127 ","20,139 ",486 ,"121,324 ","617,875 ","68,020 ","146,091 ","35,641 ","28,466 ","95,518 ","5,149 ","65,490 ","1,626 ","7,338 ","61,306 ","25,489 ","11,036 ","63,901 ",989 ,"11,548 ","1,647 ","4,930 ",284 ,"4,533 ","70,429 ","5,173 ","54,177 ","24,846 ","18,918 ","16,271 ",742 ,"9,040 ","5,096 ","1,458 ","52,955 ",928 ,"1,194 ",40 ,"11,009 ","2,826 ",507 ,126 ,"171,373 ",248 ,369 ,101 ,234 ,71 ,"1,958 ",990 ,"53,252 ",49 ,116 ,571 ,924 ,108 ,"1,338 ","653,003 ","387,868 ","191,235 ","11,565 ","21,747 ","21,730 ","17,379 ","20,268 ",234 ,57 ,35 ,14 ,"2,186 ",222 ,"1,056 ",96 ,7 ,34 ,"301,018 ","2,734 ",249 ,316 ,18 ,87 ,892 ,153 ,33 ,68 ,231 ,366 ,144 ,61 ,0 ,"1,035 ",250 ,"100,019 ","15,376 ",182 ,403 ,920 ,121 ,"3,730 ","6,843 ","7,227 ","8,723 ",186 ,"28,906 ","6,010 ","8,854 ",227 ,"8,090 ","4,882 ",247 ,212 ,"1,964 ","4,182,892 ","235,389 ",0 ,0 ,0 ,"-53,108 ",0 ,"474,127 ","656,408 ","4,839,300 ","2,845,368 ","1,846,018 ","147,914 ","1,993,932 ",0 ,0 ," 4,839,300 ",,
