부속표_취업자수 및 피용자수,,,,,
전업환산 기준(상품),,,,,
,,,,,
단위 : 명,,,,,
,,2015년,,2020년,
상품,,취업자수,피용자수,취업자수,피용자수
391,농업 및 건설용 기계,"27,487 ","24,905 ","26,938 ","24,569 "
392,금속가공용 기계,"26,911 ","22,249 ","23,446 ","18,965 "
393,금형 및 주형,"69,383 ","55,103 ","64,924 ","52,451 "
394,반도체 및 디스플레이 제조용 기계,"36,734 ","35,459 ","55,726 ","54,056 "
399,기타 특수목적용기계,"42,342 ","37,512 ","50,524 ","45,277 "
401,자동차 ,"97,212 ","97,111 ","69,777 ","69,667 "
402,특장차 및 트레일러,"3,869 ","3,351 ","5,081 ","4,796 "
403,자동차 부품,"248,792 ","239,001 ","208,818 ","200,810 "
410,선박,"96,577 ","95,067 ","80,183 ","78,270 "
421,철도차량,"5,500 ","5,302 ","6,043 ","5,872 "
422,항공기,"9,715 ","9,715 ","12,667 ","12,667 "
429,기타 운송장비,"5,959 ","5,458 ","4,372 ","4,262 "
431,가구,"73,032 ","53,697 ","61,246 ","45,703 "
439,기타 제조업 제품,"89,138 ","60,503 ","71,103 ","46,206 "
440,제조임가공 및 산업용 장비 수리,"514,482 ","462,646 ","420,808 ","373,713 "
450,전력 및 신재생에너지,"50,486 ","49,317 ","44,217 ","42,548 "
461,도시가스,"16,202 ","16,000 ","18,992 ","18,863 "
462,증기 및 온수 공급,"3,937 ","3,937 ","4,950 ","4,950 "
470,수도,"13,980 ","13,646 ","16,964 ","16,897 "
480,폐수처리,"22,396 ","21,328 ","29,471 ","28,055 "
491,폐기물처리,"53,028 ","49,024 ","83,154 ","74,883 "
492,자원재활용서비스,"29,971 ","19,142 ","59,629 ","34,126 "
501,주거용 건물,"523,298 ","402,166 ","585,731 ","449,810 "
502,비주거용 건물,"580,914 ","426,354 ","563,758 ","476,407 "
503,건축보수,"82,706 ","65,912 ","120,346 ","102,334 "
511,교통시설 건설,"176,016 ","132,672 ","134,749 ","106,611 "
512,일반토목시설 건설,"107,502 ","82,003 ","105,785 ","82,013 "
513,산업시설 건설,"202,670 ","166,827 ","185,596 ","151,408 "
519,기타 건설,"17,963 ","14,955 ","74,852 ","59,010 "
520,도소매 및 상품중개서비스,"3,527,577 ","2,060,155 ","3,157,792 ","1,928,659 "
531,철도운송서비스,"41,881 ","41,881 ","47,732 ","47,732 "
532,도로운송서비스,"927,880 ","375,462 ","805,552 ","311,134 "
540,수상운송서비스,"24,496 ","23,533 ","16,637 ","15,333 "
550,항공운송서비스,"28,920 ","28,920 ","29,837 ","29,837 "
561,운송보조서비스,"58,509 ","49,462 ","61,246 ","52,380 "
562,하역서비스,"14,918 ","13,918 ","18,464 ","16,251 "
563,보관 및 창고서비스,"97,223 ","89,281 ","129,554 ","120,938 "
569,기타 운송 관련 서비스,"55,334 ","49,707 ","64,564 ","55,060 "
571,공영우편서비스,"57,659 ","55,287 ","47,006 ","45,709 "
572,소화물전문운송서비스,"118,098 ","66,453 ","189,761 ","97,726 "
581,음식점 및 주점,"1,843,027 ","1,080,186 ","1,646,477 ","867,816 "
582,숙박서비스,"116,889 ","78,332 ","106,394 ","70,620 "
591,"유, 무선 및 위성 통신서비스","67,239 ","66,140 ","53,538 ","52,454 "
599,기타 전기통신서비스,"16,237 ","14,988 ","12,432 ","11,164 "
600,방송서비스,"49,901 ","48,311 ","45,751 ","41,699 "
610,정보서비스,"32,993 ","30,196 ","46,241 ","41,589 "
621,소프트웨어 개발 공급,"329,403 ","295,011 ","405,986 ","374,121 "
629,기타 IT서비스,"42,227 ","37,328 ","54,025 ","48,428 "
630,신문 및 출판 서비스,"76,438 ","66,278 ","61,767 ","52,454 "
640,영상·오디오물 제작 배급,"44,851 ","36,011 ","57,711 ","42,197 "
651,중앙은행 및 예금취급기관,"253,763 ","253,696 ","239,892 ","239,584 "
