순취득",수출,최종수요계,총수요계,,
221,도료 및 잉크,1 ,2 ,19 ,208 ,188 ,59 ,"1,988 ",192 ,1 ,0 ,0 ,70 ,122 ,53 ,0 ,4 ,14 ,66 ,149 ,42 ,17 ,23 ,451 ,307 ,"1,734 ","4,751 ",498 ,442 ,809 ,"9,048 ","26,686 ",5 ,"7,568 ","35,481 ","317,375 ",22 ,"1,875 ",545 ,"1,314 ",111 ,"1,854 ","1,622 ",188 ,25 ,"279,006 ","1,063 ","1,499 ","2,442 ","28,326 ",5 ,248 ,"52,930 ","159,182 ",56 ,677 ,"2,099 ",6 ,"1,737 ",94 ,"292,280 ",120 ,"5,002 ",384 ,"77,955 ","16,833 ","173,251 ","37,881 ","204,422 ","11,606 ","42,477 ","1,199 ",710 ,510 ,735 ,853 ,99 ,"1,108 ","3,615 ",13 ,"2,352 ","3,068 ","3,202 ",160 ,924 ,88 ,"20,559 ","35,197 ","18,876 ","22,329 ","18,734 ","32,711 ","59,689 ","30,186 ","227,790 ","3,421 ","281,958 ","501,513 ",837 ,340 ,458 ,"129,672 ","9,035 ","11,860 ","12,732 ","1,495 ",66 ,22 ,507 ,315 ,496 ,"473,867 ","504,050 ","194,022 ","214,339 ","25,503 ","36,537 ","21,946 ","32,013 ",1 ,525 ,"3,221 ",68 ,"5,119 ","1,250 ","7,049 ",989 ,101 ,"1,105 ","6,130 ",389 ,241 ,181 ,135 ,755 ,955 ,"5,527 ","87,174 ","1,772 ",183 ,606 ,584 ,495 ,0 ,797 ,"31,573 ","6,742 ","32,718 ",294 ,"1,891 ","24,853 ",963 ,"29,435 ","1,226 ","2,247 ","13,193 ","2,002 ","32,136 ","4,533 ","15,675 ","15,147 ","4,343 ","7,118 ","8,049 ",208 ,"1,583 ","5,110,502 ","8,612 ",0 ,0 ,0 ,"64,063 ",0 ,"1,313,329 ","1,386,004 ","6,496,506 ",,
222,비누 및 화장품,"16,303 ","11,623 ","4,682 ","5,282 ","11,299 ","1,538 ","7,417 ","4,763 ",103 ,25 ,20 ,"4,594 ","3,932 ","1,212 ","1,364 ","1,246 ","1,866 ","1,220 ","3,875 ","1,206 ","5,307 ","1,291 ","2,021 ",780 ,"6,563 ","22,257 ","3,021 ","4,350 ","1,568 ","5,362 ","1,494 ","1,512 ","4,595 ","8,996 ","11,186 ","1,449 ","30,245 ","3,350 ","7,221 ","30,925 ","26,870 ","8,649 ","16,041 ","2,335 ","10,456 ","487,557 ","9,272 ","9,526 ","24,662 ",318 ,"5,372 ","4,269 ","1,136 ",938 ,"3,751 ","4,802 ","1,862 ","8,257 ",614 ,"3,576 ","4,530 ","5,151 ","1,197 ","8,076 ","5,209 ","14,394 ","39,598 ","13,119 ","1,654 ",314 ,"1,374 ",521 ,561 ,554 ,"2,811 ",595 ,"1,460 ","5,125 ",207 ,"1,564 ","2,278 ","4,161 ",773 ,"1,467 ","2,452 ","1,976 ","3,394 ","1,385 ","1,450 ","1,803 ","3,429 ","7,893 ","4,551 ","1,733 ",156 ,"2,416 ",151 ,134 ,223 ,109 ,"3,754 ","9,535 ","44,860 ","8,937 ","12,310 ","22,077 ","4,978 ","58,670 ","81,340 ","1,162 ","2,666 ","3,444 ","2,872 ","2,829 ","3,332 ","2,111 ","1,546 ","917,521 ",129 ,"2,894 ","2,363 ","2,254 ","18,448 ","12,562 ","2,324 ","5,342 ",601 ,"1,925 ","254,865 ","300,425 ","10,541 ","15,876 ","10,734 ","3,706 ","50,122 ","11,710 ","1,618 ","118,829 ","19,858 ","22,288 ","9,524 ","5,761 ",0 ,"58,618 ","37,943 ","95,065 ","240,919 ","6,047 ","7,072 ","43,597 ","17,378 ","877,925 ","24,543 ","53,741 ","157,958 ","4,430 ","112,819 ","172,244 ","189,689 ","41,240 ","135,848 ","220,713 ","8,263 ","1,635,362 ","2,080 ","7,229,411 ","2,856,950 ",0 ,0 ,0 ,"52,604 ",0 ,"8,472,085 ","11,381,639 ","18,611,050 ",,
229,기타 화학제품,38 ,86 ,373 ,618 ,"2,843 ",344 ,"6,036 ","1,016 ","3,095 ",6 ,"2,270 ","102,965 ","37,483 ","56,865 ",0 ,"4,636 ","33,912 ","24,154 ","139,319 ","6,655 ","14,888 ","7,279 ","107,439 ","2,533 ","37,596 ","55,401 ","48,879 ","15,620 ","41,695 ","181,751 ","87,594 ","14,201 ","210,791 ","257,325 ","279,748 ","7,272 ","395,391 ","75,938 ","59,035 ","96,320 ","265,109 ","23,589 ","70,357 ","55,146 ","193,098 ","755,610 ","239,525 ","149,572 ","506,173 ","12,133 ","50,454 ","61,756 ","33,299 ","9,578 ","283,662 ","86,155 ","4,265 ","40,431 ","8,192 ","59,110 ","103,024 ","36,241 ","18,383 ","44,471 ","35,634 ","900,735 ","176,600 ","676,102 ","536,412 ","188,003 ","115,201 ","20,858 ","9,441 ","9,702 ","13,022 ","8,542 ","7,367 ","73,099 ","623,778 ","43,553 ","14,896 ","64,496 ","2,781 ","5,698 ","12,102 ","9,096 ","32,024 ","6,295 ","4,454 ","7,810 ","18,158 ","17,294 ","201,774 ","1,090,148 ","48,090 ","51,310 ","2,419 ","1,977 ",96 ,"8,712 ","51,819 ","34,712 ","93,724 ","115,386 ","7,236 ","62,461 ","206,502 ","89,300 ","100,605 ","4,491 ","21,013 ","19,812 ","18,193 ","19,073 ","38,385 ","6,223 ","1,702 ","146,340 ",43 ,"44,201 ","34,727 ",732 ,"41,260 ","6,913 ","27,596 ","17,410 ",811 ,"7,847 ","141,019 ","22,025 ","2,851 ","1,443 ","2,935 ","10,888 ","7,743 ","40,619 ","7,227 ","64,913 ","1,858 ","7,702 ","5,988 ","4,915 ",-197 ,"13,233 ","62,965 ","765,816 ","204,021 ","35,397 ","18,185 ","350,895 ","21,827 ","380,688 ","18,844 ","387,298 ","125,042 ","5,198 ","137,789 ","116,371 ","66,585 ","43,220 ","16,124 ","53,167 ","344,394 ","63,978 ","3,672 ","15,341,577 ","58,899 ",0 ,0 ,0 ,"230,830 ",0 ,"4,710,338 ","5,000,067 ","20,341,644 ",,
231,플라스틱 1차제품,"68,584 ","70,362 ","15,790 ","39,947 ","4,461 ","5,243 ","14,172 ",29 ,549 ,0 ,130 ,"1,072 ","32,944 ","34,553 ",0 ,"1,416 ","18,708 ","6,390 ","33,669 ","2,757 ",914 ,"7,465 ","7,494 ","1,620 ","5,262 ",69 ,"21,071 ","7,888 ","17,013 ","52,753 ","1,510 ",0 ,"13,702 ","66,985 ","59,495 ",29 ,"5,971 ","20,489 ","6,985 ",820 ,"13,159 ","4,560 ","13,049 ",592 ,"2,785 ","84,322 ","10,349 ","275,984 ","4,085,343 ","110,940 ","11,707 ","13,205 ","1,563 ",189 ,702 ,"11,887 ",77 ,"2,066 ",450 ,"10,570 ",287 ,"22,168 ",394 ,"9,844 ","27,806 ","49,577 ","36,555 ","416,659 ","185,860 ","250,543 ","50,218 ","4,239 ",350 ,"1,332 ","33,823 ","2,870 ",889 ,"6,985 ","1,606 ","15,858 ","27,892 ","41,181 ",881 ,"1,353 ","2,515 ",866 ,"3,986 ",795 ,958 ,834 ,"2,553 ","9,917 ","3,081 ","6,520 ",94 ,"146,746 ",328 ,732 ,157 ,781 ,"37,034 ","63,842 ","179,689 ","17,020 ",0 ,0 ,"1,154 ","12,235 ",92 ,0 ,"441,550 ","392,588 ","154,240 ","47,382 ","40,472 ","21,703 ","28,329 ","80,615 ",55 ,61 ,"1,423 ",248 ,"3,557 ","4,254 ","14,132 ","8,091 ",0 ,344 ,"8,180 ","1,625 ",0 ,"2,073 ",0 ,0 ,12 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"4,221 ",0 ,0 ,0 ,623 ,0 ,"3,445 ",101 ,"10,414 ","6,382 ",577 ,"10,447 ","2,815 ","2,225 ",70 ,1 ,0 ,79 ,375 ,4 ,"8,275,622 ","34,643 ",0 ,0 ,0 ,"-52,174 ",0 ,"8,667,167 ","8,649,636 ","16,925,258 ",,
239,기타 플라스틱제품,"106,834 ","129,898 ","44,861 ","1,455 ","10,210 ","8,135 ","134,247 ",33 ,541 ,0 ,0 ,"9,138 ","469,034 ","140,326 ","27,422 ","66,268 ","370,431 ","221,150 ","569,771 ","37,332 ","157,893 ","541,636 ",10 ,"1,216 ","10,594 ","5,164 ","20,486 ","116,554 ","37,388 ","5,263 ","26,673 ",0 ,"19,907 ","62,704 ","147,952 ",579 ,"24,632 ","29,825 ","27,359 ","25,071 ","40,966 ","2,016 ","380,741 ","71,118 ","6,390 ","921,608 ","88,979 ","81,136 ","1,495,917 ",331 ,"134,985 ","33,392 ","15,527 ",388 ,"8,075 ","123,446 ","1,861 ","30,735 ","3,824 ","25,540 ","10,371 ","34,562 ","3,966 ","333,547 ","210,533 ","188,557 ","412,012 ","413,542 ","605,622 ","36,614 ","301,284 ","138,876 ","1,225,366 ","108,485 ","790,025 ","73,598 ","122,599 ","1,250,748 ","33,109 ","115,265 ","775,630 ","643,020 ","9,460 ","98,136 ","101,259 ","94,531 ","872,643 ","97,521 ","95,198 ","69,607 ","67,724 ","229,556 ","106,813 ","1,778,384 ","83,191 ","7,794,933 ","71,377 ","30,560 ","41,767 ","41,251 ","492,516 ","652,431 ","428,092 ","119,286 ","1,597 ","25,384 ","3,667 ","210,886 ","38,091 ","15,261 ","2,757,142 ","3,275,361 ","1,627,078 ","47,411 ","44,554 ","29,384 ","28,337 ","3,699,773 ",203 ,"30,655 ","4,174 ",115 ,"49,492 ","18,156 ","213,803 ","40,365 ",246 ,"109,600 ","2,791,852 ","149,378 ","1,207 ","9,111 ","6,013 ","3,955 ","48,022 ","10,230 ",895 ,"75,254 ","4,458 ","15,298 ","9,173 ","6,619 ",0 ,"6,339 ","49,479 ","25,364 ","2,073,122 ","10,287 ","8,753 ","104,078 ","158,887 ","127,388 ","60,725 ","24,481 ","122,264 ","6,280 ","362,044 ","34,757 ","88,646 ","9,801 ","51,099 ","11,602 ","191,162 ","28,400 ","3,037 ","47,238,729 ","233,284 ",0 ,0 ,0 ,"149,731 ",0 ,"5,584,228 ","5,967,243 ","53,205,972 ",,
241,타이어 및 튜브,"4,764 ","3,544 ",215 ,586 ,"3,187 ",12 ,"1,471 ",965 ,3 ,1 ,222 ,"11,762 ",144 ,221 ,0 ,0 ,29 ,93 ,97 ,9 ,8 ,29 ,0 ,22 ,187 ,35 ,64 ,26 ,33 ,850 ,144 ,11 ,299 ,821 ,838 ,394 ,"16,440 ",166 ,"1,710 ",400 ,"4,553 ",26 ,"1,022 ",56 ,122 ,460 ,95 ,874 ,"5,364 ","45,288 ","34,339 ",176 ,288 ,"4,590 ","11,888 ","10,097 ",113 ,"7,903 ",119 ,62 ,47 ,44 ,50 ,751 ,"5,626 ","2,676 ","8,207 ",129 ,76 ,60 ,261 ,10 ,26 ,35 ,438 ,17 ,20 ,254 ,68 ,402 ,173 ,410 ,30 ,681 ,54 ,"10,432 ",889 ,"1,064 ","80,025 ",155 ,131 ,479 ,"4,803 ","532,447 ","32,389 ","4,528 ",24 ,76 ,615 ,"20,400 ",273 ,698 ,"16,769 ",4 ,9 ,95 ,0 ,"37,339 ","39,108 ",604 ,414 ,580 ,709 ,682 ,"1,263 ",227 ,93 ,"293,075 ",1 ,"199,620 ","1,019 ","3,162 ","11,463 ","7,920 ","1,773 ","6,258 ",29 ,"182,875 ","6,405 ",456 ,168 ,379 ,24 ,14 ,361 ,94 ,7 ,"3,213 ",43 ,426 ,360 ,478 ,0 ,"1,569 ","30,106 ",913 ,"257,957 ",89 ,"1,186 ","30,777 ","153,747 ","28,084 ","28,674 ","40,308 ","1,959 ",15 ,"5,922 ",515 ,664 ,"11,191 ","9,267 ","18,931 ","108,401 ",323 ,0 ,"2,435,327 ","7,491 ",0 ,0 ,0 ,"2,934 ",0 ,"3,444,263 ","3,454,688 ","5,890,015 ",,
249,기타 고무제품,"11,485 ","8,570 ",80 ,"2,548 ","21,305 ",327 ,"8,194 ",546 ,"1,406 ",0 ,0 ,"12,521 ","11,009 ","4,742 ",7 ,257 ,"2,048 ","6,956 ","4,024 ","2,719 ","1,810 ","1,012 ","1,111 ",382 ,"9,178 ","18,685 ","8,570 ","6,970 ","59,848 ","11,959 ","7,443 ",231 ,"11,320 ","38,109 ","25,665 ","8,090 ","111,224 ","1,692 ","3,385 ","2,383 ","29,348 ",326 ,"22,038 ","3,189 ","1,211 ","32,427 ","5,381 ","13,567 ","172,084 ","24,572 ","280,366 ","49,317 ","5,324 ","7,730 ","31,289 ","39,827 ",152 ,"52,379 ","5,386 ",652 ,"4,085 ","8,479 ","11,238 ","155,196 ","93,959 ","81,024 ","290,286 ","8,409 ","14,958 ","2,391 ","27,272 ",584 ,677 ,"8,460 ","85,069 ","2,134 ","45,334 ","213,348 ","1,233 ","112,681 ","63,524 ","223,167 ","25,812 ","160,330 ","225,339 ","51,305 ","115,817 ","112,622 ","61,197 ","35,067 ","4,027 ","81,948 ","73,910 ","76,263 ","9,445 ","581,663 ","11,964 ","39,269 ","1,788 ","18,617 ","134,978 ","36,486 ","289,142 ","44,326 ","1,004 ",718 ,310 ,"14,478 ","24,128 ","1,488 ","8,431 ","13,844 ","4,469 ","9,070 ","24,708 ","19,219 ","3,709 ","37,033 ",18 ,"1,158 ","12,308 ",427 ,"56,031 ","13,659 ","15,758 ","2,654 ",26 ,28 ,"184,436 ","6,103 ",25 ,33 ,38 ,11 ,974 ,"21,998 ",448 ,"8,962 ",366 ,"2,724 ",770 ,943 ,0 ,"2,109 ","5,523 ","22,493 ","3,370 ",207 ,212 ,"9,760 ","1,271 ","118,620 ","3,315 ","22,758 ","9,817 ",0 ,"18,688 ","162,917 ","11,680 ","3,688 ","7,064 ","1,142 ","68,284 ","10,266 ",529 ,"5,825,419 ","-4,523 ",0 ,0 ,0 ,"39,393 ",0 ,"1,134,194 ","1,169,064 ","6,994,483 ",,
250,유리 및 유리제품,0 ,0 ,0 ,0 ,14 ,2 ,4 ,"3,405 ",0 ,0 ,0 ,4 ,202 ,109 ,0 ,0 ,176 ,660 ,"4,735 ",7 ,"515,895 ","303,322 ",0 ,121 ,"20,035 ",288 ,825 ,"1,465 ",42 ,"1,202 ","26,109 ",0 ,267 ,17 ,"4,289 ",0 ,"8,241 ",41 ,323 ,22 ,"3,647 ",-97 ,"226,295 ","5,133 ","1,937 ","473,355 ","4,251 ","6,899 ","143,930 ",255 ,"2,205 ","370,221 ",868 ,1 ,531 ,"10,113 ",16 ,"3,224 ",129 ,420 ,30 ,"1,565 ","1,003 ","18,696 ","31,248 ","3,786 ","40,823 ","137,074 ","1,407,109 ","69,192 ","3,705 ",993 ,384 ,537 ,"47,280 ","27,075 ","21,867 ","11,591 ","6,891 ","4,107 ","69,692 ","183,478 ","1,097 ","3,483 ","17,706 ","4,756 ","16,968 ","5,888 ","5,733 ",366 ,403 ,"51,489 ","7,768 ","823,981 ","9,074 ","76,758 ","4,524 ","10,936 ","15,967 ","30,833 ","103,607 ","39,425 ","48,718 ","1,639 ",0 ,0 ,42 ,"4,260 ",-947 ,"5,413 ","266,120 ","619,905 ","134,022 ","5,841 ","4,450 ","8,231 ","8,989 ","143,021 ",1 ,535 ,"1,254 ",75 ,"18,351 ","1,770 ","15,391 ","4,731 ",33 ,2 ,"6,876 ",902 ,77 ,19 ,34 ,1 ,225 ,"3,535 ",58 ,"1,379 ",504 ,"1,084 ",445 ,16 ,0 ,821 ,"19,742 ","11,199 ","2,048 ","4,236 ","3,435 ","12,730 ","4,167 ","2,304 ","3,768 ","6,388 ","32,449 ",596 ,"88,088 ","17,328 ","24,522 ","8,333 ",776 ,"3,247 ","34,219 ",354 ,250 ,"7,052,045 ","-356,443 ",0 ,0 ,0 ,"58,481 ",0 ,"3,132,959 ","2,834,997 ","9,887,042 ",,
261,도자기 및 요업제품,160 ,109 ,36 ,83 ,115 ,21 ,145 ,587 ,3 ,1 ,2 ,141 ,77 ,129 ,31 ,51 ,44 ,30 ,"3,400 ",16 ,"1,184 ",66 ,26 ,198 ,47 ,27 ,81 ,76 ,36 ,85 ,511 ,179 ,"1,054 ",389 ,205 ,231 ,"40,494 ",15 ,"19,809 ","28,010 ","35,451 ","1,351 ",941 ,197 ,"3,565 ",165 ,340 ,"1,453 ","4,121 ",6 ,115 ,"28,678 ","23,637 ",592 ,"19,323 ",435 ,"97,256 ","435,785 ","43,099 ","114,550 ","28,519 ","24,214 ","85,916 ","5,048 ","58,409 ","1,152 ","7,143 ","2,273 ","2,060 ","9,701 ","17,626 ",481 ,526 ,"1,174 ","3,718 ",284 ,"2,896 ","28,371 ","1,176 ","52,919 ","2,135 ","17,073 ","8,405 ",710 ,"9,024 ","5,096 ",686 ,"16,361 ",928 ,"1,017 ",40 ,"4,667 ","2,519 ",507 ,126 ,"21,126 ",176 ,366 ,101 ,154 ,71 ,"1,739 ",494 ,"45,571 ",49 ,116 ,571 ,924 ,108 ,682 ,"108,318 ","223,064 ","131,467 ","8,440 ","21,574 ","16,227 ","13,869 ","19,330 ",155 ,57 ,35 ,14 ,"2,186 ",222 ,967 ,96 ,7 ,34 ,"251,967 ","2,702 ",249 ,316 ,18 ,87 ,892 ,153 ,33 ,68 ,231 ,366 ,144 ,61 ,0 ,"1,035 ",250 ,"53,189 ","15,376 ",182 ,403 ,920 ,121 ,"3,730 ","6,843 ","7,227 ","8,637 ",186 ,"28,556 ","5,649 ","8,562 ",227 ,"8,090 ","4,882 ",247 ,212 ,"1,964 ","2,343,949 ","79,346 ",0 ,0 ,0 ,"-52,042 ",0 ,"474,115 ","501,419 ","2,845,368 ",,
262,시멘트,56 ,37 ,11 ,28 ,37 ,8 ,49 ,31 ,1 ,1 ,0 ,48 ,68 ,97 ,10 ,16 ,31 ,12 ,69 ,7 ,32 ,8 ,9 ,9 ,19 ,9 ,28 ,38 ,5 ,27 ,19 ,2 ,14 ,40 ,112 ,10 ,83 ,4 ,27 ,15 ,107 ,11 ,99 ,10 ,17 ,23 ,8 ,22 ,597 ,2 ,11 ,8 ,"1,699 ","271,337 ","2,776,820 ","18,891 ",121 ,464 ,4 ,33 ,33 ,423 ,165 ,"2,825 ",22 ,429 ,"3,541 ",48 ,3 ,1 ,5 ,46 ,27 ,6 ,11 ,3 ,4 ,26 ,1 ,8 ,10 ,16 ,5 ,7 ,23 ,129 ,291 ,"1,238 ",15 ,12 ,13 ,59 ,336 ,12 ,1 ,13 ,5 ,1 ,1 ,2 ,473 ,289 ,696 ,47 ,17 ,36 ,14 ,298 ,"2,936 ",234 ,"37,996 ","76,609 ","30,739 ","71,358 ","49,663 ","4,665 ","3,028 ","6,248 ",1 ,19 ,997 ,5 ,66 ,73 ,4 ,32 ,2 ,11 ,115 ,"3,939 ",66 ,105 ,25 ,21 ,287 ,52 ,12 ,137 ,76 ,121 ,47 ,20 ,0 ,341 ,83 ,693 ,"2,920 ",26 ,237 ,"2,534 ","2,326 ","1,718 ",287 ,352 ,"2,608 ",60 ,306 ,715 ,340 ,620 ,137 ,"1,613 ",53 ,"1,467 ",141 ,"3,392,383 ","5,873 ",0 ,0 ,0 ,"-25,628 ",0 ,"236,997 ","217,242 ","3,609,625 ",,
263,콘크리트 제품,0 ,0 ,71 ,0 ,"13,602 ",0 ,0 ,0 ,8 ,0 ,0 ,"5,129 ","2,310 ",521 ,0 ,0 ,528 ,60 ,"6,390 ",0 ,0 ,521 ,0 ,163 ,232 ,0 ,5 ,"1,451 ",6 ,"7,128 ",104 ,0 ,0 ,0 ,113 ,0 ,"43,791 ","1,723 ","7,343 ","6,342 ","15,933 ",735 ,434 ,"1,716 ",703 ,"4,429 ","2,658 ","4,311 ","32,226 ",37 ,"5,104 ","3,431 ",967 ,758 ,"44,820 ","9,365 ","3,690 ","23,378 ","1,268 ","2,225 ","12,351 ","5,218 ","1,880 ","39,201 ","4,361 ","6,767 ","3,663 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,36 ,33 ,739 ,12 ,722 ,77 ,21 ,19 ,2 ,112 ,120 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,662 ,172 ,"4,010 ",7 ,"15,705 ",0 ,"2,036 ","14,566 ","7,467 ","1,209 ","5,432,371 ","4,593,755 ","686,479 ","2,431,867 ","1,312,911 ","833,080 ","234,301 ","3,558 ",0 ,"2,534 ",653 ,0 ,"18,329 ","5,835 ",0 ,"3,640 ",0 ,0 ,"105,201 ","16,366 ",72 ,0 ,0 ,0 ,68 ,0 ,6 ,29 ,0 ,0 ,0 ,0 ,"11,863 ",0 ,0 ,0 ,0 ,35 ,935 ,724 ,940 ,"43,356 ",527 ,"9,274 ","55,682 ",0 ,"15,087 ","3,441 ",0 ,341 ,"41,873 ",0 ,34 ,0 ,848 ,"16,242,925 ","5,744 ",0 ,0 ,0 ,"43,629 ",0 ,"119,989 ","169,362 ","16,412,287 ",,
269,기타 비금속광물제품,"1,622 ","1,802 ","2,722 ",164 ,"6,813 ",386 ,"1,831 ","1,033 ",2 ,49 ,0 ,"2,992 ","-14,019 ","-1,067 ",0 ,"3,032 ","-3,618 ","-1,345 ","5,719 ",-558 ,"-12,797 ",-634 ,0 ,-6 ,-47 ,-77 ,595 ,300 ,"2,668 ","5,483 ","9,803 ",492 ,-676 ,"2,260 ","5,367 ","1,804 ","16,943 ","5,483 ","12,897 ","1,251 ",-2 ,-419 ,"1,516 ","5,513 ","-93,252 ","-69,030 ","193,250 ","-39,832 ","26,856 ",-165 ,"4,217 ","234,118 ","117,101 ","64,064 ","317,706 ","508,353 ","21,976 ","519,778 ","65,747 ","322,544 ","45,157 ","10,777 ","250,977 ","76,802 ","62,876 ","6,387 ","105,490 ",337 ,"-2,279 ","-7,280 ","-4,301 ",-31 ,"-1,498 ",53 ,"2,308 ",287 ,"3,630 ","54,932 ","126,184 ","43,298 ","2,445 ","39,780 ","3,247 ","5,881 ","17,950 ","5,711 ","21,788 ","21,959 ",-216 ,"14,581 ","2,278 ","6,640 ","9,565 ",-883 ,188 ,"154,954 ","2,112 ","1,021 ",338 ,"4,887 ","26,132 ","31,049 ","40,214 ","-89,755 ",-174 ,"-21,066 ","64,097 ","26,979 ","-14,488 ","24,381 ","415,521 ","1,426,459 ","137,204 ","963,420 ","747,171 ","27,557 ","15,909 ","-26,620 ",0 ,-2 ,53 ,347 ,-110 ,"3,426 ",-24 ,-8 ,0 ,0 ,"5,166 ",-117 ,"2,665 ",0 ,0 ,0 ,0 ,0 ,-274 ,20 ,0 ,0 ,0 ,0 ,0 ,-100 ,0 ,"21,227 ",0 ,829 ,"2,162 ","27,349 ","62,579 ","-1,844 ","5,619 ",0 ,"207,067 ",-4 ,-952 ,"7,320 ","-1,277 ","1,486 ","44,674 ","-10,180 ","2,581 ",0 ,146 ,"7,520,854 ","81,254 ",0 ,0 ,0 ,"10,909 ",0 ,"1,126,439 ","1,218,602 ","8,739,456 ",,
271,선철 및 조강,0 ,0 ,0 ,0 ,-14 ,0 ,0 ,0 ,-382 ,0 ,-28 ,"-1,395 ",-831 ,-184 ,-19 ,-109 ,-197 ,-366 ,-219 ,-127 ,-8 ,-233 ,-40 ,-222 ,-352 ,-211 ,"-4,807 ",-262 ,-317 ,-25 ,-231 ,-60 ,"-1,745 ",-804 ,-54 ,-126 ,-462 ,-120 ,0 ,0 ,-32 ,-501 ,-80 ,-359 ,-121 ,-30 ,-1 ,"-3,530 ",-923 ,-123 ,"-1,261 ","-1,105 ",-240 ,"30,134 ","-8,627 ",-653 ,"245,399 ","3,236,603 ","740,235 ","98,432 ","28,474 ","15,461 ","434,702 ","-78,401 ","-107,820 ","-46,237 ","-102,820 ","-7,654 ","-7,930 ","-1,844 ","-8,308 ","-1,000 ","-1,328 ","-2,224 ","-2,680 ",-320 ,"-7,755 ","-9,376 ","-2,266 ","-1,422 ","-16,299 ","-3,185 ","-11,937 ","-9,634 ","-36,950 ","-58,509 ","-14,019 ","-11,300 ","-33,799 ","-10,886 ","557,348 ","-11,471 ","-26,751 ","-13,055 ","-6,905 ","30,365 ","-179,844 ","-4,282 ","-1,876 ","-1,841 ","-2,124 ",-652 ,"17,429 ","-2,909 ",-4 ,-33 ,0 ,0 ,0 ,"-33,212 ","-112,518 ","-123,788 ","-38,797 ","-24,618 ","-20,032 ","-12,295 ","-21,647 ",0 ,"-3,299 ","-7,086 ",-605 ,0 ,-139 ,-266 ,-135 ,-73 ,0 ,0 ,"-1,784 ",-161 ,0 ,0 ,-21 ,0 ,0 ,0 ,0 ,0 ,-35 ,-5 ,0 ,-15 ,0 ,-208 ,-301 ,"21,473 ",0 ,-198 ,-73 ,"2,163 ","-1,004 ",0 ,0 ,0 ,0 ,-39 ,"-18,030 ",-155 ,-78 ,-140 ,"-1,022 ",0 ,"-8,656 ",0 ,136 ,"4,148,733 ","-314,583 ",0 ,"-1,434,925 ","-45,684 ","-88,658 ",0 ,"1,303,675 ","-580,175 ","3,568,558 ",,
272,열간압연강재,7 ,"33,402 ","5,695 ","9,451 ","8,814 ",3 ,"5,983 ","7,326 ","2,504 ",799 ,233 ,"3,459 ",6 ,9 ,0 ,13 ,5 ,"4,900 ",24 ,"1,148 ","4,301 ",1 ,"3,371 ",5 ,722 ,1 ,"3,931 ",36 ,214 ,203 ,"1,567 ",106 ,"21,220 ","4,830 ",484 ,"2,446 ","443,042 ","38,491 ","103,133 ","17,663 ","66,282 ",361 ,"7,028 ","3,793 ","4,535 ","1,778 ","2,799 ","17,656 ","93,062 ","4,647 ","33,524 ",904 ,854 ,"8,750 ","410,346 ","10,089 ","7,102 ","3,678,555 ","1,549,287 ","2,288,036 ","2,871 ","124,141 ","88,849 ","2,285,677 ","567,056 ","846,055 ","1,481,850 ","3,321 ",790 ,"1,780 ","29,098 ",374 ,"2,001 ","1,855 ","32,714 ",83 ,"71,523 ","165,413 ","1,794 ","10,584 ","62,889 ","69,294 ","161,706 ","209,006 ","268,866 ","140,322 ","204,105 ","114,734 ","201,855 ","106,718 ","155,826 ","45,311 ","157,141 ","287,385 ","171,593 ","2,243,729 ","3,165,642 ","99,435 ","31,949 ","82,582 ","166,203 ","50,745 ","147,580 ","87,839 ","114,592 ","101,066 ","68,278 ","11,060 ","2,963 ","6,620 ","3,898,461 ","4,091,427 ","500,178 ","1,426,158 ","1,799,249 ","1,218,898 ","399,631 ",512 ,435 ,642 ,"3,180 ",35 ,"12,133 ","1,006 ",459 ,113 ,0 ,0 ,30 ,3 ,2 ,2 ,2 ,1 ,4 ,37 ,1 ,25 ,3 ,1 ,5 ,2 ,0 ,924 ,12 ,"20,558 ",13 ,4 ,11 ,976 ,"1,480 ",3 ,1 ,55 ,"1,919 ",0 ,"3,148 ","3,381 ","19,272 ",25 ,34 ,88 ,"1,014 ","6,439 ","6,051 ","36,791,842 ","5,596 ",0 ,0 ,0 ,"-240,199 ",0 ,"12,819,058 ","12,584,455 ","49,376,297 ",,
